Sampling points GITHUB	Sampling points	Field 	Farmer	Year	nb. of flowers observed/transect	nb. of flowers produced/hectare	Nitrogen	Overall land productivity (kg_ha-1)	Productivity per flower (g)	Distance from native vegetation (m)	Vegetation cover (0.5km)	Vegetation cover (1km)	Vegetation cover (1.5km)	Vegetation cover (2km)	richness	abund.exot.pol (Apis mellifera)	abund.nat.pol.	abund.bio.control	pest (binomial data)	Mamangava	Paratrigona lineata	Trigona spineps	Bombus (fervidobombus) morio	Bombus brevivillus	Xylocopa (Stenoxylocopa) sp.	Geotrigona sp.	Exomalopsis analis	Oxaea flavescens	Apoidea sp1	non identified bees (NOT USED FOR RICHNESS)	Palpada vinetorum 	Allograpta cf. exotica	Polybia ignobilis	Brachygastra lecheguana	Polybia dimidiata	Pepsis sp. 
11	W1P0NN	wa	wa	2015	887	2580000	98.00	1387.2	0.336046512	65.46	33.24	27.84	38.54	34.03	3	1	1.01	0	1	0	1	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0
12	W2P1N	wa	wa	2015	439	1890000	98.00	1844.8	0.61005291	94.14	3.90	24.45	35.95	36.97	1	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	W2P0N	wa	wa	2015	326	1960000	98.00	2044.8	0.652040816	375.78	4.25	29.03	35.46	36.71	1	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	W1P0S	waS	wa	2015	830	1870000	98.00	1651.2	0.551871658	64.41	52.88	53.96	47.97	44.50	7	0.01	1.04	5	1	0.01	0	1	0	0	0	0	0	0.01	0.01	0	0.01	5	0	0	0	0
15	W1P0NS	wa	wa	2015	209	2010000	98.00	1305.6	0.405970149	33.73	29.45	29.79	37.43	38.74	3	1	0.01	1	0	0	0	0	0	0	0	0	0	0	0.01	0	0	1	0	0	0	0
16	W1P1NS	wa	wa	2015	291	2100000	98.00	790.4	0.235238095	29.07	17.54	27.31	32.75	36.98	3	0.01	2	0.01	0	0	0	0	0	1	0	0	0	0	0	1	0	0.01	0	0	0	0
17	W2P0S	waS	wa	2015	454	1330000	98.00	1540.8	0.413304721	320.94	30.17	47.05	43.26	43.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	L1P1	le	le	2015	2363	3270000	72.60	4792	0.915902141	238.35	43.95	38.18	35.27	28.28	6	2	4	7	0	0	2	0	0	0	0	0	0	0	2	0	0	5	0	1	0	1
19	L1P0	le	le	2015	970	4370000	72.60	5870.4	0.839588101	97.57	56.73	58.70	41.80	30.06	8	1	2.02	3	1	0.01	1	0.01	0	0	0	0	0	0	1	0	0	1	1	1	0	0
20	L2P1	le	le	2015	1630	2850000	72.60	3825.6	0.838947368	768.22	9.96	25.94	29.11	25.40	2	0	0.01	2	0	0	0	0	0	0	0	0	0	0	0.01	0	0	2	0	0	0	0
21	L2P0	le	le	2015	1078	2870000	72.60	2536	0.552264808	526.25	0.00	8.42	18.44	21.59	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
22	L3P1	le	le	2015	1483	3170000	72.60	3798.4	0.748895899	924.2	0.00	1.48	7.29	16.11	3	1	0.02	5	1	0.01	0	0	0	0	0	0	0	0	0	0.01	0	5	0	0	0	0
23	R1P0	ro	ro	2015	423	2550000	91.30	5060.8	1.240392157	65.39	27.72	28.12	28.91	29.74	6	0	7	0.01	0	3	1	1	1	1	0	0	0	0	0	0	0	0.01	0	0	0	0
24	R2P0	ro	ro	2015	1320	2000000	91.30	2715.2	0.8485	617.16	0.00	10.60	13.33	22.39	3	5	0.01	1	1	0	0	0	0	0	0	0	0	0	0.01	0	0	1	0	0	0	0
25	R3P0	ro	ro	2015	241	1830000	91.30	3275.2	1.118579235	939.33	0.00	1.97	9.06	15.35	3	2	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
26	D1P0	da	da	2015	2403	3900000	130.50	2632	0.421794872	350	50.55	52.05	52.53	57.83	5	17	2.01	3	0	0.01	0	0	0	2	0	0	0	0	0	0	0	2	0	0	1	0
27	D2P0	da	da	2015	2275	3790000	130.50	3633.6	0.599208443	890	0.00	22.15	47.42	53.77	2	4	0.01	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	R1P0N	ro	ro	2016	2960	2870000	91.30	5595.776	1.218592334	46.17	41.94	28.29	28.32	30.70	2	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
29	R3P0N	ro	ro	2016	2787	2790000	91.30	3972.8	0.889964158	1152	0.00	0.00	8.06	10.62	3	0.01	0.01	1	0	0	0	0	0.01	0	0	0	0	0	0	0	0	1	0	0	0	0
30	R1P0S	ro	ro	2016	2926	2800000	91.30	4612.8	1.029642857	100.936	27.44	29.01	29.87	29.93	4	6	1.02	0	0	0	0	0	0.01	0.01	0	0	0	0	1	0	0	0	0	0	0	0
31	R3P0S	ro	ro	2016	3623	1970000	91.30	2958.4	0.93857868	825.06	0.00	5.18	13.09	20.46	2	13	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
32	J1P0N	joN	jo	2016	2542	3920000	98.70	5896	1.220198675	100.03	39.30	44.59	33.25	29.69	3	3	5	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
33	J2P0N	joN	jo	2016	2439	2830000	98.70	5305.6	1.171731449	408.33	8.08	36.77	36.29	34.54	3	7	3	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
34	J1P0S	joS	jo	2016	2282	3880000	98.70	8083.2	1.302061856	84.11	40.09	31.05	34.75	35.91	6	4	15.02	2	1	0.01	6	0.01	0	0	0	0	0	0	0	9	0	1	1	0	0	0
35	J2P0S	joS	jo	2016	2114	3200000	98.70	5928	1.1578125	371.2	5.17	12.49	16.36	20.48	2	0.01	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
