produtor	campo.	ponto.a	ano	n_flor	nuvens	vento 	temp	umidade	horario	Apis	nat	bio.ctrol	Total	exot.fl	sem.apis.fl	total.fl	total_N	dist	vc0.5	vc1.0	vc1.5	vc2.0	pest	rich
LE	LE	L1P1	2015	1294	100	0.5	27.1	61.2	1250	1	2	5	7	0.772797527	1.545595054	5.409582689	72.60	238.35	43.95	38.18	35.27	28.28	0	5
LE	LE	L1P1	2015	1069	100	0.8	26.5	55.1	1620	1	2	2	5	0.935453695	1.87090739	4.677268475	72.60	238.35	43.95	38.18	35.27	28.28	0	3
LE	LE	L1P0	2015	630	100	1.5	23.5	71	1144	0	2.02	0.01	6	0	3.206349206	9.523809524	72.60	97.57	56.73	58.70	41.80	30.06	1	5
LE	LE	L1P0	2015	340	100	0.7	26.7	60.4	1450	1	0	3	7	2.941176471	0	20.58823529	72.60	97.57	56.73	58.70	41.80	30.06	0	4
LE	LE	L2P1	2015	863	50	1.1	24.7	63.8	945	0	0.01	2	2	0	0.011587486	2.317497103	72.60	768.22	9.96	25.94	29.11	25.40	0	2
LE	LE	L2P1	2015	767	40	1.2	27.4	58.5	1245	0	0	0.01	0	0	0	0	72.60	768.22	9.96	25.94	29.11	25.40	0	1
LE	LE	L2P0	2015	490	10	1.4	28.3	64.1	1044	2	0	0	2	4.081632653	0	4.081632653	72.60	526.25	0.00	8.42	18.44	21.59	0	1
LE	LE	L2P0	2015	588	100	0.8	27.6	61.2	1352	0.01	0	2	2	0.017006803	0	3.401360544	72.60	526.25	0.00	8.42	18.44	21.59	0	2
LE	LE	L3P1	2015	819	35	0.9	33	44.1	1128	0.01	0.01	2	2	0.012210012	0.012210012	2.442002442	72.60	924.2	0.00	1.48	7.29	16.11	0	2
LE	LE	L3P1	2015	664	30	0.8	32.6	45.5	1428	1	0.01	3	5	1.506024096	0.015060241	7.530120482	72.60	924.2	0.00	1.48	7.29	16.11	1	3
Hu	Hu	Hu1P0	2015	269	98	0.5	24	76.9	915	0	5	0.01	6	0	18.58736059	22.30483271	91.30	65.39	27.72	28.12	28.91	29.74	0	4
Hu	Hu	Hu1P0	2015	154	70	0.2	30.4	59.7	1216	0	2	0.01	3	0	12.98701299	19.48051948	91.30	65.39	27.72	28.12	28.91	29.74	0	3
Hu	Hu	Hu2P0	2015	851	100	0.7	24.8	66.1	1004	0.01	0	1	1	0.011750881	0	1.175088132	91.30	617.16	0.00	10.60	13.33	22.39	1	2
Hu	Hu	Hu2P0	2015	469	60	1.6	28.4	60.2	1304	5	0.01	0	7	10.66098081	0.021321962	14.92537313	91.30	617.16	0.00	10.60	13.33	22.39	0	2
Hu	Hu	Hu3P0	2015	154	100	0.3	26	65.7	1049	1	1	1	5	6.493506494	6.493506494	32.46753247	91.30	939.33	0.00	1.97	9.06	15.35	1	3
Hu	Hu	Hu3P0	2015	87	60	0.3	29.8	64.8	1349	1	0	0	1	11.49425287	0	11.49425287	91.30	939.33	0.00	1.97	9.06	15.35	0	1
Da	Da	D1P0	2015	1215	98	2	22.9	81.2	956	7	1	1	11	5.761316872	0.823045267	9.053497942	130.50	350	50.55	52.05	52.53	57.83	0	3
Da	Da	D1P0	2015	1188	100	0.9	24.9	80.7	1256	10	1.01	2	14	8.417508418	0.85016835	11.78451178	130.50	350	50.55	52.05	52.53	57.83	0	4
Da	Da	D2P0	2015	1143	100	2.1	23.5	73.8	1107	1	0	0	1	0.874890639	0	0.874890639	130.50	890	0.00	22.15	47.42	53.77	0	1
Da	Da	D2P0	2015	1132	96	2.2	27.5	71.8	1407	3	0.01	0	4	2.650176678	0.008833922	3.533568905	130.50	890	0.00	22.15	47.42	53.77	0	2
Ro	Ro	R1P0N	2016	2960	15	4	21	78.5	932	2	0	0	2	0.675675676	0	0.675675676	91.30	46.17	41.94	28.29	28.32	30.70	0	1
Ro	Ro	R1P0N	2016	2960	10	3.2	27.8	55.8	1441	1	1	0	2	0.337837838	0.337837838	0.675675676	91.30	46.17	41.94	28.29	28.32	30.70	0	1
Ro	Ro	R3P0N	2016	2787	85	2	21.7	78.8	1006	0	0	1	1	0	0	0.358808755	91.30	1152	0.00	0.00	8.06	10.62	0	1
Ro	Ro	R3P0N	2016	2787	60	1.5	28.8	53.7	1246	0.01	0.01	0	0	0.003588088	0.003588088	0	91.30	1152	0.00	0.00	8.06	10.62	0	2
Ro	Ro	R1P0S	2016	2926	70	1.1	21.5	74.4	919	4	0.01	0	9	1.367053999	0.003417635	3.075871497	91.30	100.936	27.44	29.01	29.87	29.93	0	3
Ro	Ro	R1P0S	2016	2926	60	1.1	27.5	61	1210	2	1.01	0	4	0.683526999	0.345181135	1.367053999	91.30	100.936	27.44	29.01	29.87	29.93	0	3
Ro	Ro	R3P0S	2016	3623	90	1.5	24.1	69.6	928	9	0	2	12	2.484129175	0	3.312172233	91.30	825.06	0.00	5.18	13.09	20.46	0	2
Ro	Ro	R3P0S	2016	3623	60	1.1	28.8	61.2	1217	4	0	0	6	1.104057411	0	1.656086116	91.30	825.06	0.00	5.18	13.09	20.46	1	1
Jo	JoN	J1P0N	2016	2542	90	2.6	25.1	78.7	1054	1	2	0	6	0.393391031	0.786782061	2.360346184	98.70	100.03	39.30	44.59	33.25	29.69	0	2
Jo	JoN	J1P0N	2016	2542	90	2.8	25.5	67.9	1349	2	3	1	6	0.786782061	1.180173092	2.360346184	98.70	100.03	39.30	44.59	33.25	29.69	0	3
Jo	JoN	J2P0N	2016	2439	70	3.8	26.2	79	1137	2	2	0	4	0.8200082	0.8200082	1.6400164	98.70	408.33	8.08	36.77	36.29	34.54	0	2
Jo	JoN	J2P0N	2016	2439	90	2.1	25.8	64.4	1511	5	1	0	6	2.0500205	0.4100041	2.4600246	98.70	408.33	8.08	36.77	36.29	34.54	0	2
Jo	JoS	J1P0S	2016	2282	50	1.8	28.8	72.6	906	3	7.01	2	15	1.314636284	3.071866784	6.57318142	98.70	84.11	40.09	31.05	34.75	35.91	1	6
Jo	JoS	J1P0S	2016	2282	60	2.8	26.8	72.7	1230	1	9.01	0.01	8	0.438212095	3.948290973	3.505696757	98.70	84.11	40.09	31.05	34.75	35.91	1	5
Jo	JoS	J2P0S	2016	2114	75	1.8	25.3	76.7	1015	0	1	0	4	0	0.473036897	1.892147588	98.70	371.2	5.17	12.49	16.36	20.48	0	1
Jo	JoS	J2P0S	2016	2114	90	1.1	28.4	66.7	1315	0.01	0	0	0	0.004730369	0	0	98.70	371.2	5.17	12.49	16.36	20.48	0	1
